Frame,Emotion Scores
1,"{'disgust': np.float64(0.30997228622436523), 'fear': np.float64(0.06203307062387466), 'happy': np.float64(0.0017200696747750044), 'neutral': np.float64(0.13732643127441407), 'sad': np.float64(0.07883614301681519), 'surprise': np.float64(0.06884408742189407), 'anger': np.float64(0.014652963494881988)}"
2,"{'disgust': np.float64(0.2985655546188355), 'fear': np.float64(0.10576182827353478), 'happy': np.float64(0.0018963967449963093), 'neutral': np.float64(0.11014116108417513), 'sad': np.float64(0.08964451849460603), 'surprise': np.float64(0.08669325336813927), 'anger': np.float64(0.014355981955304742)}"
3,"{'disgust': np.float64(0.29033271471659344), 'fear': np.float64(0.1932821050286293), 'happy': np.float64(0.0015551052832355101), 'neutral': np.float64(0.07740329603354137), 'sad': np.float64(0.14565777480602266), 'surprise': np.float64(0.07089465359846751), 'anger': np.float64(0.016094467494015895)}"
4,"{'disgust': np.float64(0.2639040589332581), 'fear': np.float64(0.16890278421342372), 'happy': np.float64(0.0014935264771338552), 'neutral': np.float64(0.08167282268404961), 'sad': np.float64(0.2090138152241707), 'surprise': np.float64(0.0635802848264575), 'anger': np.float64(0.015578589402139189)}"
5,"{'disgust': np.float64(0.2206622558832169), 'fear': np.float64(0.20253792017698288), 'happy': np.float64(0.0013416267465800047), 'neutral': np.float64(0.06860883444547654), 'sad': np.float64(0.2912658774852753), 'surprise': np.float64(0.05585838258266449), 'anger': np.float64(0.014512035194784403)}"
6,"{'disgust': np.float64(0.17753834664821627), 'fear': np.float64(0.21147789001464842), 'happy': np.float64(0.0012260917341336609), 'neutral': np.float64(0.049231752455234534), 'sad': np.float64(0.41260777592659004), 'surprise': np.float64(0.04841515570878983), 'anger': np.float64(0.013595465542748573)}"
7,"{'disgust': np.float64(0.13228989183902742), 'fear': np.float64(0.2059283548593521), 'happy': np.float64(0.001010916382074356), 'neutral': np.float64(0.04131228774785996), 'sad': np.float64(0.5345899832248688), 'surprise': np.float64(0.03386902511119842), 'anger': np.float64(0.012397464704699815)}"
8,"{'disgust': np.float64(0.09128313958644868), 'fear': np.float64(0.14066055089235305), 'happy': np.float64(0.0010937967337667942), 'neutral': np.float64(0.08391830116510393), 'sad': np.float64(0.5294500294327736), 'surprise': np.float64(0.036043377965688704), 'anger': np.float64(0.010200958750210704)}"
9,"{'disgust': np.float64(0.07233793556690217), 'fear': np.float64(0.14310356587171555), 'happy': np.float64(0.001063796877861023), 'neutral': np.float64(0.07407878965139389), 'sad': np.float64(0.5906646510958672), 'surprise': np.float64(0.031447897851467135), 'anger': np.float64(0.009722750768996776)}"
10,"{'disgust': np.float64(0.0754049837589264), 'fear': np.float64(0.08572636574506759), 'happy': np.float64(0.0011676134075969458), 'neutral': np.float64(0.11235634148120881), 'sad': np.float64(0.5202892395853997), 'surprise': np.float64(0.03749503567814827), 'anger': np.float64(0.009606110197491944)}"
11,"{'disgust': np.float64(0.06908757209777833), 'fear': np.float64(0.0939104363322258), 'happy': np.float64(0.0011634916998445987), 'neutral': np.float64(0.11248339831829073), 'sad': np.float64(0.5189047929644585), 'surprise': np.float64(0.0384726881980896), 'anger': np.float64(0.009824970997869968)}"
12,"{'disgust': np.float64(0.06662373661994936), 'fear': np.float64(0.0981609633564949), 'happy': np.float64(0.0012100966880097986), 'neutral': np.float64(0.12060206532478332), 'sad': np.float64(0.48729998439550404), 'surprise': np.float64(0.04230315312743187), 'anger': np.float64(0.010502340518869458)}"
13,"{'disgust': np.float64(0.0625117152929306), 'fear': np.float64(0.11230482101440428), 'happy': np.float64(0.0012542412150651217), 'neutral': np.float64(0.11029625535011292), 'sad': np.float64(0.5014042162895203), 'surprise': np.float64(0.04533826559782028), 'anger': np.float64(0.010928505780175329)}"
14,"{'disgust': np.float64(0.05856272995471955), 'fear': np.float64(0.11631881117820739), 'happy': np.float64(0.0012303401017561555), 'neutral': np.float64(0.1087694764137268), 'sad': np.float64(0.5030229794979096), 'surprise': np.float64(0.047323713824152944), 'anger': np.float64(0.010970373349264264)}"
15,"{'disgust': np.float64(0.0577226597070694), 'fear': np.float64(0.12886949479579923), 'happy': np.float64(0.0012388689443469047), 'neutral': np.float64(0.09014899253845216), 'sad': np.float64(0.5491407889127732), 'surprise': np.float64(0.04483195655047893), 'anger': np.float64(0.011539433170109989)}"
16,"{'disgust': np.float64(0.05871059358119964), 'fear': np.float64(0.11924032688140869), 'happy': np.float64(0.0012860745191574097), 'neutral': np.float64(0.10883880078792571), 'sad': np.float64(0.505064670443535), 'surprise': np.float64(0.04479619301855564), 'anger': np.float64(0.011884054890833797)}"
17,"{'disgust': np.float64(0.0575363826751709), 'fear': np.float64(0.11381793916225433), 'happy': np.float64(0.0012770082568749786), 'neutral': np.float64(0.12579970300197602), 'sad': np.float64(0.4699629729986191), 'surprise': np.float64(0.04247882254421711), 'anger': np.float64(0.012341881678439677)}"
18,"{'disgust': np.float64(0.05524544656276702), 'fear': np.float64(0.11555608212947846), 'happy': np.float64(0.0011865691281855105), 'neutral': np.float64(0.12327806890010835), 'sad': np.float64(0.4932049781084061), 'surprise': np.float64(0.035655657202005385), 'anger': np.float64(0.013635847987607122)}"
19,"{'disgust': np.float64(0.05443792760372161), 'fear': np.float64(0.09676622092723845), 'happy': np.float64(0.0012968609342351555), 'neutral': np.float64(0.16305992364883423), 'sad': np.float64(0.40508810698986053), 'surprise': np.float64(0.03414253629744053), 'anger': np.float64(0.014022993659600616)}"
20,"{'disgust': np.float64(0.04549624145030976), 'fear': np.float64(0.07532568655908108), 'happy': np.float64(0.0011886648251675069), 'neutral': np.float64(0.2144468641281128), 'sad': np.float64(0.3104042886197568), 'surprise': np.float64(0.027842350117862225), 'anger': np.float64(0.012379494816996158)}"
21,"{'disgust': np.float64(0.039561744332313534), 'fear': np.float64(0.05880898363888263), 'happy': np.float64(0.0011458105989731848), 'neutral': np.float64(0.2524312400817871), 'sad': np.float64(0.2374301400780678), 'surprise': np.float64(0.02427255976945162), 'anger': np.float64(0.011717762118205428)}"
22,"{'disgust': np.float64(0.04402597904205322), 'fear': np.float64(0.0515057272464037), 'happy': np.float64(0.0010527453268878162), 'neutral': np.float64(0.22446022272109983), 'sad': np.float64(0.3285623243451119), 'surprise': np.float64(0.018106129579246046), 'anger': np.float64(0.01204277191311121)}"
23,"{'disgust': np.float64(0.04496474027633667), 'fear': np.float64(0.03349635310471057), 'happy': np.float64(0.0011061388184316456), 'neutral': np.float64(0.2451466250419617), 'sad': np.float64(0.2906998080015183), 'surprise': np.float64(0.01658224705606699), 'anger': np.float64(0.010430178609676658)}"
24,"{'disgust': np.float64(0.04839408993721008), 'fear': np.float64(0.03636212266981601), 'happy': np.float64(0.0010204105987213553), 'neutral': np.float64(0.24478220224380495), 'sad': np.float64(0.28289120674133306), 'surprise': np.float64(0.01733034271746874), 'anger': np.float64(0.010461872615851462)}"
25,"{'disgust': np.float64(0.06847812175750732), 'fear': np.float64(0.04887902900576591), 'happy': np.float64(0.0012516981223598123), 'neutral': np.float64(0.21128750562667847), 'sad': np.float64(0.3250008554756642), 'surprise': np.float64(0.02175532951951027), 'anger': np.float64(0.012343266187235713)}"
26,"{'disgust': np.float64(0.07159333348274231), 'fear': np.float64(0.04822792254388332), 'happy': np.float64(0.001273903902620077), 'neutral': np.float64(0.2137702202796936), 'sad': np.float64(0.3155796549469233), 'surprise': np.float64(0.021328394860029222), 'anger': np.float64(0.011772763971239329)}"
27,"{'disgust': np.float64(0.09679303765296937), 'fear': np.float64(0.04327718786895275), 'happy': np.float64(0.0014749991707503796), 'neutral': np.float64(0.23922099351882933), 'sad': np.float64(0.20950667060911657), 'surprise': np.float64(0.023851413279771805), 'anger': np.float64(0.011713241785764694)}"
28,"{'disgust': np.float64(0.11504612922668458), 'fear': np.float64(0.04984867058694362), 'happy': np.float64(0.001554391090758145), 'neutral': np.float64(0.22803098440170286), 'sad': np.float64(0.212531867697835), 'surprise': np.float64(0.02203068193048239), 'anger': np.float64(0.012999464315362275)}"
29,"{'disgust': np.float64(0.1320127284526825), 'fear': np.float64(0.05672331266105174), 'happy': np.float64(0.001682774629443884), 'neutral': np.float64(0.2020751523971558), 'sad': np.float64(0.25811338074505336), 'surprise': np.float64(0.019988229870796202), 'anger': np.float64(0.014062256631441413)}"
30,"{'disgust': np.float64(0.14701696038246156), 'fear': np.float64(0.05208031676709651), 'happy': np.float64(0.0016694532707333565), 'neutral': np.float64(0.19593751192092895), 'sad': np.float64(0.2638543567806483), 'surprise': np.float64(0.017642713338136672), 'anger': np.float64(0.0139277122868225)}"
31,"{'disgust': np.float64(0.15833542108535767), 'fear': np.float64(0.057500580847263325), 'happy': np.float64(0.0017713200068101287), 'neutral': np.float64(0.17134315729141236), 'sad': np.float64(0.30558685779571537), 'surprise': np.float64(0.019840605184435846), 'anger': np.float64(0.01480430440977216)}"
32,"{'disgust': np.float64(0.12925949037075044), 'fear': np.float64(0.07121189832687377), 'happy': np.float64(0.0016125572379678487), 'neutral': np.float64(0.1563756060600281), 'sad': np.float64(0.37460152447223666), 'surprise': np.float64(0.01992141529917717), 'anger': np.float64(0.014038569419644775)}"
33,"{'disgust': np.float64(0.11326893746852876), 'fear': np.float64(0.0869868591427803), 'happy': np.float64(0.0014900436392053962), 'neutral': np.float64(0.12710028529167178), 'sad': np.float64(0.45899023890495305), 'surprise': np.float64(0.021847871877253056), 'anger': np.float64(0.013126569469459356)}"
34,"{'disgust': np.float64(0.09405219018459321), 'fear': np.float64(0.0947955670952797), 'happy': np.float64(0.0014070355100557208), 'neutral': np.float64(0.11969555735588075), 'sad': np.float64(0.4953876864910126), 'surprise': np.float64(0.02364940121769905), 'anger': np.float64(0.011576215545646848)}"
35,"{'disgust': np.float64(0.07864693343639374), 'fear': np.float64(0.10220009475946426), 'happy': np.float64(0.0013099679024890065), 'neutral': np.float64(0.09720113754272461), 'sad': np.float64(0.5732677492499352), 'surprise': np.float64(0.0230237003415823), 'anger': np.float64(0.01147591278422624)}"
