Category,emo_anger,emo_disgust,emo_fear,emo_joy,emo_sadness,emo_surprise
cantonese restaurants,0.09726072878268367,0.08063137416275565,0.09998234212018657,0.4480143683279377,0.10704479946112597,0.16706638714531047
gym,0.13318972441090823,0.09371100008649486,0.13902606790258207,0.3328157371215335,0.16514751492036295,0.13610995555811836
beer garden,0.09547489705172574,0.0712242886043192,0.08885642695036917,0.4699165117735857,0.11177974717341521,0.16274812844658498
mediterranean restaurant,0.07720724955970783,0.0715027470021541,0.09335948189364225,0.49883524302022886,0.09655203867554502,0.16254323984872193
arts & entertainment,0.10979428203552512,0.08075381148860211,0.11615798047191252,0.39537744223022075,0.1347194178640057,0.16319706590973382
bar,0.0948370007904089,0.07764061782778182,0.09688008944662559,0.45186929616477634,0.11613487726848051,0.16263811850192683
park,0.09627882468070158,0.0709356886558101,0.11736255739843926,0.4337941936617068,0.11499134318620932,0.16663739241713296
steakhouse,0.09643301725295073,0.08631623851473479,0.09376867476082515,0.43046139645379505,0.1173689755796186,0.17565169743807565
jewelry store,0.10712061266919899,0.07159211530532576,0.12182326984990306,0.4091917924784855,0.1252883949014413,0.16498381479564533
pizza place,0.10550799999541449,0.0887628637885713,0.10366347859082692,0.41825812523715683,0.11673562127355662,0.1670719111144738
wine bar,0.08373677385786699,0.07207459889678833,0.08067184533899166,0.47484035136925884,0.11131300074387522,0.17736342979321895
nail salon,0.1240964185066623,0.10123833757421544,0.11224930914662508,0.37428766860926427,0.14338340310268408,0.14474486306054885
food,0.09944512454424055,0.07864947980321342,0.09852678045781203,0.4408215754416401,0.10713472792779333,0.17542231182530058
frozen yogurt,0.09031322434912967,0.06593435691036707,0.07344416426659714,0.4381393113056514,0.09384102102420167,0.23832792214405304
other nightlife,0.09460460100345583,0.07749193067550875,0.09738997500165622,0.449749219902405,0.11683560045921144,0.16392867295776278
performing arts venue,0.11635530806538531,0.07819516795401472,0.12392222022633376,0.37714433267469016,0.14468070774205138,0.15970226333752469
new american restaurant,0.09117377998976291,0.07584973263779228,0.09409842849830652,0.4600786295372619,0.10926347429293315,0.16953595504394323
thai restaurant,0.08769522851133416,0.07718748080259066,0.10155246706821552,0.4836577025125569,0.08899114505781894,0.16091597604748378
cajun / creole restaurant,0.09498381785200191,0.086390539259915,0.10011935634584211,0.4394886025093206,0.10762688941473776,0.17139079461818266
italian restaurant,0.0923977703025069,0.08053362966004965,0.09429410023975891,0.4489873155255471,0.11333188390917748,0.17045530036295997
cocktail bar,0.08977868648128201,0.07254152630170634,0.09065689657932592,0.46176012514493897,0.11034572661594089,0.17491703887680587
automotive shop,0.14539941747472002,0.10837202701837395,0.16713941321740514,0.26965849758319504,0.16508517225684416,0.1443454724494617
spa / massage,0.10447004121314593,0.07355196261462774,0.10419528690690057,0.42643277325724754,0.13848321532988128,0.15286672067819695
casino,0.13956740277900254,0.09876418790390648,0.11046724027160151,0.3437976341945806,0.13748881974275962,0.16991471510814932
seafood restaurant,0.09426522580548374,0.08165352322563546,0.0930617300002167,0.44908646000543406,0.11003068747614261,0.17190237348708742
sporting goods shop,0.1357076773443616,0.07498635964669507,0.1416066359330397,0.35651534440903665,0.13038596269264527,0.16079801997422172
hotel,0.12673602661996844,0.11155195438839319,0.115237440847035,0.3506268543944147,0.1526086694717497,0.143239054278439
soup place,0.10441628128640519,0.0797896000282416,0.11452677657358704,0.44044198114872735,0.10305362375119144,0.15777173721184734
